SampleDate;Copenhagen;Aarhus;Gentofte;Rudersdal
25-09-2020;79;64;7;3
26-09-2020;74;51;7;3
27-09-2020;52;53;8;3
28-09-2020;74;71;8;3
29-09-2020;69;67;4;2
30-09-2020;63;56;5;5
01-10-2020;56;47;4;8
02-10-2020;45;47;5;4
03-10-2020;58;26;3;6
04-10-2020;47;30;3;5
05-10-2020;61;30;2;8
06-10-2020;94;34;7;8
07-10-2020;54;43;5;6
08-10-2020;55;37;6;6
09-10-2020;61;27;6;5
10-10-2020;43;28;9;1
11-10-2020;46;25;1;6
12-10-2020;58;31;5;5
13-10-2020;58;37;9;1
14-10-2020;83;30;3;1
15-10-2020;85;31;2;3
16-10-2020;76;46;6;8
17-10-2020;88;31;7;6
18-10-2020;80;35;3;4
19-10-2020;101;69;7;7
20-10-2020;96;109;9;10
21-10-2020;124;137;9;13
22-10-2020;163;69;10;10
23-10-2020;137;76;21;12
24-10-2020;129;64;9;23
25-10-2020;149;63;7;20
26-10-2020;147;66;13;11
27-10-2020;206;84;10;18
28-10-2020;197;95;10;21
29-10-2020;190;48;18;10
30-10-2020;170;70;24;15
31-10-2020;212;72;14;11
01-11-2020;149;77;46;18
02-11-2020;237;72;23;13
03-11-2020;233;96;22;10
04-11-2020;224;114;28;9
05-11-2020;178;73;31;7
06-11-2020;170;61;28;12
07-11-2020;149;76;18;13
08-11-2020;138;72;11;6
09-11-2020;185;86;13;12
10-11-2020;186;77;23;9
11-11-2020;168;87;26;11
12-11-2020;192;83;21;8
13-11-2020;187;80;17;14
14-11-2020;198;50;17;10
15-11-2020;163;46;12;7
16-11-2020;226;92;16;9
17-11-2020;246;91;19;7
18-11-2020;250;93;15;15
19-11-2020;253;60;19;6
20-11-2020;228;68;21;5
21-11-2020;221;50;13;10
22-11-2020;220;64;18;10
23-11-2020;233;74;30;14
24-11-2020;266;80;34;11
25-11-2020;281;84;22;11
26-11-2020;262;83;12;14
27-11-2020;261;103;19;11
28-11-2020;277;85;16;18
29-11-2020;257;69;16;17
30-11-2020;288;148;27;23
01-12-2020;402;121;28;24
02-12-2020;419;147;36;29
03-12-2020;411;139;26;24
